TestSmell1,TestSmell2,Count
Duplicate Assert,Sensitive Equality,21
Duplicate Assert,Sleepy Test,0
Duplicate Assert,Unknown Test,20
Duplicate Assert,Verbose Test,56
Eager Test,EmptyTest,0
Eager Test,Exception Catching Throwing,37
Eager Test,General Fixture,18
Eager Test,IgnoredTest,3
Eager Test,Lazy Test,119
Eager Test,Magic Number Test,68
Eager Test,Mystery Guest,6
Eager Test,Print Statement,1
Eager Test,Redundant Assertion,4
Eager Test,Resource Optimism,6
Eager Test,Sensitive Equality,31
Eager Test,Sleepy Test,0
Eager Test,Unknown Test,30
Eager Test,Verbose Test,62
EmptyTest,Exception Catching Throwing,0
EmptyTest,General Fixture,0
EmptyTest,IgnoredTest,0
EmptyTest,Lazy Test,0
EmptyTest,Magic Number Test,0
EmptyTest,Mystery Guest,0
EmptyTest,Print Statement,0
EmptyTest,Redundant Assertion,0
EmptyTest,Resource Optimism,0
EmptyTest,Sensitive Equality,0
EmptyTest,Sleepy Test,0
EmptyTest,Unknown Test,0
EmptyTest,Verbose Test,0
Exception Catching Throwing,General Fixture,5
Exception Catching Throwing,IgnoredTest,0
Exception Catching Throwing,Lazy Test,42
Exception Catching Throwing,Magic Number Test,26
Exception Catching Throwing,Mystery Guest,5
Exception Catching Throwing,Print Statement,1
Exception Catching Throwing,Redundant Assertion,7
Exception Catching Throwing,Resource Optimism,5
Exception Catching Throwing,Sensitive Equality,16
Exception Catching Throwing,Sleepy Test,0
Exception Catching Throwing,Unknown Test,20
Exception Catching Throwing,Verbose Test,35
General Fixture,IgnoredTest,0
General Fixture,Lazy Test,19
General Fixture,Magic Number Test,8
General Fixture,Mystery Guest,0
General Fixture,Print Statement,0
General Fixture,Redundant Assertion,1
General Fixture,Resource Optimism,0
General Fixture,Sensitive Equality,6
General Fixture,Sleepy Test,0
General Fixture,Unknown Test,6
General Fixture,Verbose Test,9
IgnoredTest,Lazy Test,4
IgnoredTest,Magic Number Test,0
IgnoredTest,Mystery Guest,1
IgnoredTest,Print Statement,1
IgnoredTest,Redundant Assertion,0
IgnoredTest,Resource Optimism,1
IgnoredTest,Sensitive Equality,1
IgnoredTest,Sleepy Test,0
IgnoredTest,Unknown Test,2
IgnoredTest,Verbose Test,1
Lazy Test,Magic Number Test,58
Lazy Test,Mystery Guest,5
Lazy Test,Print Statement,2
Lazy Test,Redundant Assertion,7
Lazy Test,Resource Optimism,5
Lazy Test,Sensitive Equality,42
Lazy Test,Sleepy Test,0
Lazy Test,Unknown Test,37
Lazy Test,Verbose Test,60
Magic Number Test,Mystery Guest,4
Magic Number Test,Print Statement,0
Magic Number Test,Redundant Assertion,3
Magic Number Test,Resource Optimism,4
Magic Number Test,Sensitive Equality,24
Magic Number Test,Sleepy Test,0
Magic Number Test,Unknown Test,18
Magic Number Test,Verbose Test,47
Mystery Guest,Print Statement,0
Mystery Guest,Redundant Assertion,0
Mystery Guest,Resource Optimism,9
Mystery Guest,Sensitive Equality,0
Mystery Guest,Sleepy Test,0
Mystery Guest,Unknown Test,1
Mystery Guest,Verbose Test,4
Print Statement,Redundant Assertion,0
Print Statement,Resource Optimism,0
Print Statement,Sensitive Equality,0
Print Statement,Sleepy Test,0
Print Statement,Unknown Test,1
Print Statement,Verbose Test,1
Redundant Assertion,Resource Optimism,0
Redundant Assertion,Sensitive Equality,3
Redundant Assertion,Sleepy Test,0
Redundant Assertion,Unknown Test,1
Redundant Assertion,Verbose Test,4
Resource Optimism,Sensitive Equality,0
Resource Optimism,Sleepy Test,0
Resource Optimism,Unknown Test,1
Resource Optimism,Verbose Test,4
Sensitive Equality,Sleepy Test,0
Sensitive Equality,Unknown Test,13
Sensitive Equality,Verbose Test,23
Sleepy Test,Unknown Test,0
Sleepy Test,Verbose Test,0
Unknown Test,Verbose Test,23
