TestSmell1,TestSmell2,Count
IgnoredTest,Sleepy Test,2
IgnoredTest,Unknown Test,15
IgnoredTest,Verbose Test,12
Lazy Test,Magic Number Test,174
Lazy Test,Mystery Guest,24
Lazy Test,Print Statement,2
Lazy Test,Redundant Assertion,6
Lazy Test,Resource Optimism,20
Lazy Test,Sensitive Equality,56
Lazy Test,Sleepy Test,6
Lazy Test,Unknown Test,88
Lazy Test,Verbose Test,121
Magic Number Test,Mystery Guest,19
Magic Number Test,Print Statement,3
Magic Number Test,Redundant Assertion,4
Magic Number Test,Resource Optimism,15
Magic Number Test,Sensitive Equality,42
Magic Number Test,Sleepy Test,9
Magic Number Test,Unknown Test,46
Magic Number Test,Verbose Test,110
Mystery Guest,Print Statement,1
Mystery Guest,Redundant Assertion,1
Mystery Guest,Resource Optimism,27
Mystery Guest,Sensitive Equality,7
Mystery Guest,Sleepy Test,0
Mystery Guest,Unknown Test,11
Mystery Guest,Verbose Test,15
Print Statement,Redundant Assertion,0
Print Statement,Resource Optimism,1
Print Statement,Sensitive Equality,2
Print Statement,Sleepy Test,0
Print Statement,Unknown Test,0
Print Statement,Verbose Test,3
Redundant Assertion,Resource Optimism,1
Redundant Assertion,Sensitive Equality,2
Redundant Assertion,Sleepy Test,0
Redundant Assertion,Unknown Test,4
Redundant Assertion,Verbose Test,2
Resource Optimism,Sensitive Equality,6
Resource Optimism,Sleepy Test,0
Resource Optimism,Unknown Test,9
Resource Optimism,Verbose Test,10
Sensitive Equality,Sleepy Test,3
Sensitive Equality,Unknown Test,15
Sensitive Equality,Verbose Test,29
Sleepy Test,Unknown Test,4
Sleepy Test,Verbose Test,10
Unknown Test,Verbose Test,53
