TestSmell1,TestSmell2,Count
Magic Number Test,Resource Optimism,0
Magic Number Test,Sensitive Equality,42
Magic Number Test,Sleepy Test,0
Magic Number Test,Unknown Test,7
Magic Number Test,Verbose Test,27
Mystery Guest,Print Statement,0
Mystery Guest,Redundant Assertion,0
Mystery Guest,Resource Optimism,0
Mystery Guest,Sensitive Equality,0
Mystery Guest,Sleepy Test,0
Mystery Guest,Unknown Test,0
Mystery Guest,Verbose Test,0
Print Statement,Redundant Assertion,4
Print Statement,Resource Optimism,0
Print Statement,Sensitive Equality,4
Print Statement,Sleepy Test,0
Print Statement,Unknown Test,0
Print Statement,Verbose Test,4
Redundant Assertion,Resource Optimism,0
Redundant Assertion,Sensitive Equality,17
Redundant Assertion,Sleepy Test,0
Redundant Assertion,Unknown Test,3
Redundant Assertion,Verbose Test,16
Resource Optimism,Sensitive Equality,0
Resource Optimism,Sleepy Test,0
Resource Optimism,Unknown Test,0
Resource Optimism,Verbose Test,0
Sensitive Equality,Sleepy Test,0
Sensitive Equality,Unknown Test,5
Sensitive Equality,Verbose Test,23
Sleepy Test,Unknown Test,0
Sleepy Test,Verbose Test,0
Unknown Test,Verbose Test,6
